content_type,creator_category,account_type,has_call_to_action,description_length,hashtags,followers,account_age_months,historical_avg_views,historical_engagement_rate,posting_hour,day_of_week,expected_views,expected_engagement_rate,performance_score,performance_category
carousel,Comedy,brand,1,205,6,4542,16.2,762,3.07,21,Monday,2986,3.51,49.5,Medium
image,Technology,brand,0,65,7,16843,22.2,2539,4.4,8,Sunday,3795,3.48,52.6,Medium
image,Fitness,brand,0,78,1,51181,10.8,1978,5.07,8,Wednesday,2852,4.73,60.4,Medium
carousel,Photography,brand,0,168,12,1808,0.1,229,7.05,16,Monday,993,7.69,57.1,Medium
image,Fitness,creator,1,104,1,12489,9.5,2657,5.1,2,Thursday,3075,3.36,48.6,Medium
carousel,Lifestyle,creator,0,116,4,5843,30.9,1523,3.62,9,Saturday,2511,4.07,52.1,Medium
carousel,Fashion,brand,0,114,5,1742,9.1,539,1.39,16,Wednesday,1899,3.07,38.2,Low
image,Fitness,creator,0,105,6,267,18.0,30,4.61,18,Friday,561,4.69,32.4,Low
image,Technology,brand,0,163,5,1880,7.4,469,3.71,21,Wednesday,682,6.51,47.4,Medium
image,Food,creator,0,136,5,26962,15.8,1266,0.1,12,Friday,3263,2.2,40.4,Medium
carousel,Lifestyle,creator,0,196,8,1367,4.1,326,1.97,18,Thursday,852,3.27,25.5,Low
reel,Food,creator,0,106,3,735,16.3,222,3.22,7,Sunday,1158,2.96,28.6,Low
reel,Food,creator,1,67,8,3807,19.8,136,6.18,4,Sunday,1634,4.65,50.4,Medium
image,Photography,brand,1,134,7,953,15.2,40,4.96,21,Thursday,520,4.16,26.6,Low
carousel,Travel,creator,1,149,8,9750,14.1,995,5.77,17,Sunday,1910,5.53,60.3,Medium
reel,Technology,creator,1,27,3,1771,14.5,163,3.9,2,Friday,952,2.37,20.6,Low
reel,Music,creator,1,92,5,36026,28.5,19367,6.05,4,Monday,22677,5.24,84.5,High
image,Travel,creator,0,21,11,11453,0.0,996,5.51,5,Sunday,1183,4.03,38.7,Low
carousel,Food,creator,0,21,6,975,15.7,103,3.87,19,Tuesday,872,5.89,48.7,Medium
reel,Fitness,brand,1,153,4,1379,18.0,127,2.11,4,Friday,812,2.27,17.0,Low
carousel,Music,creator,1,102,7,2605,0.0,270,3.99,22,Wednesday,649,5.69,42.3,Medium
reel,Lifestyle,creator,0,41,8,62386,11.8,17324,4.17,11,Saturday,33078,2.99,65.2,Medium
image,Travel,brand,0,18,8,353,20.7,48,2.35,4,Saturday,337,1.76,5.2,Low
image,Photography,creator,1,132,9,1408,14.1,122,4.95,23,Friday,681,4.73,35.4,Low
image,Fashion,brand,0,110,10,29885,10.4,11887,4.79,16,Friday,12223,5.55,83.2,High
reel,Music,brand,1,104,8,1753,22.7,309,5.95,8,Monday,1298,5.09,50.3,Medium
carousel,Travel,creator,1,118,5,6550,5.5,1328,5.28,20,Wednesday,2633,5.75,67.2,Medium
image,Comedy,creator,1,158,3,200,19.7,35,7.44,21,Friday,361,8.09,45.2,Medium
image,Fitness,creator,0,119,8,23142,14.7,4295,3.55,12,Thursday,4334,2.7,47.9,Medium
carousel,Lifestyle,brand,0,118,8,10919,22.8,6489,3.94,8,Monday,6571,4.6,69.9,High
carousel,Beauty,creator,1,77,6,4563,19.7,1291,3.14,21,Tuesday,2374,3.98,50.5,Medium
image,Fitness,brand,1,26,8,1401,16.4,75,4.42,21,Tuesday,828,6.57,51.0,Medium
carousel,Beauty,brand,0,140,9,913,13.0,139,5.61,1,Thursday,378,2.86,12.7,Low
reel,Food,creator,1,75,4,17740,0.0,1388,2.85,13,Thursday,4146,1.95,42.3,Medium
image,Food,creator,0,112,7,5593,21.2,1356,6.82,7,Friday,1832,6.39,64.7,Medium
image,Food,creator,0,123,7,6411,22.9,1185,5.54,15,Wednesday,2206,5.14,60.0,Medium
carousel,Photography,creator,1,205,6,13470,7.4,3268,6.99,11,Thursday,5860,5.84,78.5,High
carousel,Comedy,creator,1,175,4,7974,7.9,230,5.74,23,Friday,1298,5.98,56.5,Medium
image,Food,creator,1,87,6,13667,21.2,1020,2.21,6,Sunday,3711,2.42,43.7,Medium
carousel,Beauty,brand,1,134,4,14700,26.5,349,5.47,6,Monday,1622,3.16,36.3,Low
carousel,Lifestyle,brand,0,188,3,2160,8.4,80,3.46,4,Tuesday,389,2.44,9.7,Low
reel,Music,creator,1,36,6,3394,16.0,316,5.32,0,Friday,1232,4.96,48.2,Medium
carousel,Music,creator,1,153,8,62462,6.1,14099,4.01,13,Friday,14298,3.87,69.6,High
image,Music,creator,0,101,8,16559,19.0,2965,4.58,1,Saturday,2208,2.5,36.5,Low
image,Travel,creator,1,10,7,2061,10.5,467,6.17,2,Sunday,627,4.59,32.8,Low
carousel,Fitness,creator,0,132,4,73838,13.1,14822,3.05,21,Friday,23723,5.49,86.4,High
image,Beauty,brand,0,107,6,23532,17.9,4314,3.67,10,Wednesday,4600,4.69,66.6,Medium
carousel,Comedy,brand,0,136,2,889,7.2,57,5.2,9,Monday,909,4.87,41.7,Medium
image,Beauty,brand,0,142,7,17862,9.2,3207,4.35,15,Tuesday,4751,3.58,56.5,Medium
image,Lifestyle,creator,1,166,2,5682,9.8,1934,3.85,9,Thursday,3039,3.68,51.5,Medium
reel,Food,creator,0,136,10,18723,9.2,872,3.26,1,Wednesday,4612,2.38,46.3,Medium
reel,Music,brand,0,136,4,6082,0.0,536,0.1,0,Friday,2448,0.59,30.1,Low
carousel,Travel,brand,0,159,8,28770,8.9,6023,6.14,10,Monday,6759,4.2,66.4,Medium
image,Fitness,creator,1,103,8,442764,3.1,90823,0.28,15,Monday,103049,3.41,70.8,High
image,Technology,creator,0,89,1,6507,22.3,1440,5.46,15,Saturday,2042,6.56,67.2,Medium
reel,Music,brand,0,144,5,8618,21.9,3671,4.75,5,Thursday,7531,5.05,75.5,High
reel,Food,creator,1,143,10,773,13.1,93,1.97,7,Saturday,1259,2.22,24.7,Low
reel,Food,creator,1,107,6,344,8.3,99,0.94,10,Saturday,1816,2.69,34.6,Low
image,Travel,creator,0,75,8,12577,21.3,573,4.4,5,Sunday,1772,3.07,37.1,Low
carousel,Travel,creator,0,37,7,5377,11.2,237,4.89,14,Friday,1327,5.18,51.4,Medium
carousel,Lifestyle,creator,0,96,8,2471,12.9,338,3.89,21,Tuesday,1238,5.04,49.0,Medium
carousel,Fitness,brand,1,125,2,69582,11.5,27398,5.04,18,Friday,60111,7.54,97.5,High
image,Fitness,brand,1,105,9,243,7.5,30,6.66,11,Friday,667,5.72,42.9,Medium
carousel,Beauty,creator,1,70,5,955,18.4,61,5.31,14,Wednesday,828,3.97,31.5,Low
reel,Travel,creator,1,95,6,17934,17.0,4007,0.66,5,Friday,12712,1.06,50.0,Medium
image,Music,brand,1,188,5,6453,13.3,957,4.38,20,Tuesday,2725,5.44,65.5,Medium
carousel,Fashion,creator,0,130,10,15903,13.0,4319,6.56,15,Saturday,9273,5.73,82.4,High
image,Technology,creator,1,84,5,22905,20.3,3510,4.35,10,Tuesday,4003,3.57,54.3,Medium
image,Fashion,creator,0,160,8,42234,26.1,12187,5.92,12,Friday,28999,4.85,82.0,High
reel,Food,brand,0,83,6,449,3.3,55,6.47,17,Wednesday,758,4.81,38.0,Low
image,Comedy,brand,1,150,5,15910,0.0,2981,7.39,3,Tuesday,2468,6.23,68.9,Medium
reel,Food,brand,1,72,4,8332,21.7,1758,7.23,11,Saturday,2669,7.19,73.5,High
reel,Comedy,brand,0,46,5,21627,12.9,1147,3.69,1,Tuesday,3126,0.15,33.3,Low
reel,Beauty,creator,0,90,7,9334,19.6,1157,1.92,0,Wednesday,2052,1.82,31.1,Low
reel,Fitness,creator,0,82,5,14872,23.6,1302,2.31,7,Wednesday,3206,2.78,44.3,Medium
carousel,Fashion,creator,1,121,4,826,1.1,363,5.86,9,Saturday,860,5.8,47.8,Medium
reel,Beauty,brand,1,122,6,30680,17.0,1840,0.11,19,Thursday,5328,3.18,54.2,Medium
reel,Technology,creator,0,269,7,12867,11.9,1910,6.91,2,Monday,3160,5.64,69.2,High
reel,Fashion,creator,0,59,5,9202,9.9,710,8.33,17,Monday,4907,8.72,83.6,High
image,Food,creator,0,84,2,9256,27.3,2129,2.33,22,Friday,3180,3.2,47.7,Medium
image,Fitness,creator,1,95,8,1396,4.8,344,3.93,15,Friday,766,4.08,31.2,Low
image,Fitness,brand,0,119,7,1279,25.8,234,5.93,9,Sunday,493,3.72,22.1,Low
carousel,Food,creator,0,78,3,4581,8.8,442,3.82,7,Sunday,2331,2.55,37.8,Low
carousel,Technology,brand,1,158,3,3535,3.4,1224,3.89,5,Sunday,1809,3.47,41.0,Medium
carousel,Fashion,creator,0,122,3,42807,4.5,2088,2.24,3,Saturday,4852,0.82,40.1,Medium
carousel,Fitness,brand,1,84,5,303,17.0,45,3.85,19,Tuesday,633,3.78,25.4,Low
image,Technology,creator,0,69,11,200,3.9,38,4.29,11,Wednesday,451,2.27,9.4,Low
carousel,Comedy,creator,0,123,7,6942,18.8,1249,4.3,15,Monday,1438,3.85,40.6,Medium
image,Travel,brand,0,104,8,886,4.3,54,2.09,22,Saturday,434,4.21,25.6,Low
image,Music,brand,1,99,6,88406,9.0,29011,5.06,2,Tuesday,25529,4.73,80.6,High
image,Beauty,creator,1,128,8,2298,2.2,212,3.4,20,Saturday,962,4.55,39.7,Medium
image,Travel,creator,1,113,3,9742,21.8,2388,4.02,15,Tuesday,4252,5.28,70.7,High
reel,Food,brand,1,47,2,9298,11.7,2377,8.65,7,Saturday,3737,8.27,80.0,High
reel,Beauty,brand,1,147,5,868,15.3,116,2.74,4,Saturday,1306,1.69,22.5,Low
reel,Travel,creator,0,74,4,4796,27.0,1636,5.12,6,Wednesday,2843,6.55,72.5,High
reel,Travel,creator,1,232,2,13058,15.4,3803,5.05,20,Thursday,12269,6.76,89.5,High
carousel,Fashion,creator,0,121,7,19250,17.1,2877,2.55,5,Thursday,5794,1.44,43.9,Medium
carousel,Fashion,brand,0,165,3,34938,0.0,8373,1.35,11,Wednesday,9770,2.83,57.5,Medium
image,Fashion,brand,0,95,6,1822,11.7,310,2.93,16,Sunday,470,4.44,28.4,Low
reel,Photography,creator,1,189,7,4251,26.7,1338,6.34,0,Sunday,2682,5.43,65.1,Medium
reel,Lifestyle,brand,1,144,5,14374,17.3,1665,4.0,15,Tuesday,5010,2.9,51.2,Medium
image,Comedy,brand,1,150,4,47862,6.7,15057,7.2,18,Saturday,45710,7.36,96.7,High
image,Fitness,brand,0,104,6,36419,7.4,12489,6.1,4,Sunday,10204,5.03,78.0,High
image,Fashion,creator,0,103,4,12232,22.4,3406,5.22,8,Tuesday,3322,5.39,68.1,Medium
reel,Fitness,creator,0,64,6,1038,18.7,46,4.07,13,Tuesday,802,4.9,39.8,Medium
carousel,Fitness,creator,0,127,4,585,12.1,147,3.08,19,Saturday,974,6.01,51.4,Medium
reel,Travel,creator,0,71,5,1455,12.0,490,3.93,18,Friday,1982,5.24,58.8,Medium
image,Food,brand,0,154,5,885,4.2,59,3.34,4,Sunday,396,5.24,34.4,Low
image,Travel,creator,0,92,7,12592,13.9,2821,6.09,16,Sunday,5631,7.33,83.8,High
image,Food,creator,0,100,6,2960,14.6,1219,3.6,15,Sunday,3263,6.78,75.3,High
image,Comedy,brand,0,139,4,65053,12.0,10631,3.57,22,Sunday,9415,3.41,62.0,Medium
carousel,Lifestyle,brand,0,87,6,2313,17.6,533,5.75,14,Sunday,1116,4.65,43.5,Medium
reel,Food,creator,1,122,7,1051,5.4,90,2.62,4,Saturday,734,1.44,11.0,Low
reel,Beauty,brand,0,140,12,4801,11.8,1293,3.31,19,Monday,4477,4.85,67.7,Medium
carousel,Beauty,creator,1,53,5,560083,25.8,135487,4.04,3,Wednesday,163222,3.64,73.3,High
image,Beauty,creator,1,175,9,82408,16.8,10533,2.19,1,Wednesday,8346,0.72,45.8,Medium
reel,Lifestyle,brand,1,105,12,1957,31.1,370,2.91,1,Monday,876,2.13,17.4,Low
carousel,Travel,creator,0,143,8,63391,10.3,5991,2.54,18,Sunday,12959,5.12,80.6,High
carousel,Photography,creator,1,97,4,380,15.6,57,0.69,15,Monday,693,1.36,9.6,Low
image,Fashion,creator,0,79,9,15396,15.7,1932,4.78,17,Friday,3407,3.96,55.7,Medium
image,Music,creator,0,43,9,174980,3.6,10335,1.37,1,Thursday,12535,1.69,52.2,Medium
reel,Beauty,brand,0,202,8,5268,5.0,444,0.1,1,Friday,1479,0.19,21.0,Low
reel,Travel,creator,1,132,5,13901,29.1,494,2.51,2,Friday,2083,1.66,30.6,Low
image,Photography,brand,0,32,5,640,13.8,122,4.07,2,Friday,335,3.26,15.6,Low
carousel,Music,creator,0,49,3,37122,0.4,14079,4.62,19,Friday,26947,5.61,87.8,High
image,Photography,creator,0,214,6,33938,43.2,1369,4.77,15,Friday,2900,5.6,67.6,Medium
carousel,Lifestyle,creator,0,98,3,816,4.5,70,2.59,5,Tuesday,493,1.9,8.0,Low
reel,Technology,brand,0,38,10,27323,19.3,5219,6.28,8,Sunday,12086,6.68,89.1,High
reel,Fitness,creator,1,125,4,1195,1.0,416,4.68,19,Friday,1293,5.27,51.6,Medium
image,Fashion,creator,0,127,5,18985,13.9,3780,4.73,11,Monday,3674,1.87,40.3,Medium
image,Comedy,brand,0,122,5,22660,5.7,3783,3.5,3,Friday,3273,3.13,47.4,Medium
reel,Travel,brand,1,102,9,6315,13.7,353,4.99,13,Friday,1293,4.38,43.6,Medium
reel,Comedy,brand,0,10,5,2032,34.4,219,5.53,23,Tuesday,1608,6.54,63.0,Medium
carousel,Fitness,creator,0,140,8,86065,15.4,4704,1.82,6,Sunday,24226,1.76,56.0,Medium
carousel,Lifestyle,creator,1,149,6,467,11.8,90,2.85,17,Tuesday,527,4.47,29.7,Low
reel,Beauty,creator,0,130,5,81393,26.4,33257,0.87,8,Saturday,156584,3.19,69.1,High
image,Food,brand,1,156,8,3792,13.4,583,1.4,7,Saturday,1350,2.19,25.8,Low
carousel,Technology,creator,0,160,7,2530,16.8,519,4.22,9,Sunday,636,4.65,33.6,Low
reel,Fitness,creator,1,118,7,54195,4.2,6997,2.46,3,Friday,12412,3.54,65.5,Medium
reel,Food,creator,0,139,8,10646,8.7,1005,3.1,15,Friday,2942,4.39,57.6,Medium
image,Lifestyle,brand,0,82,3,2475,17.0,660,2.53,17,Saturday,2136,4.69,55.4,Medium
image,Beauty,brand,0,88,7,3745,15.6,779,3.79,4,Thursday,666,1.56,9.8,Low
image,Fashion,creator,1,142,7,2339,21.1,207,2.65,11,Tuesday,912,2.16,18.3,Low
reel,Photography,brand,1,85,7,3374,14.5,690,2.45,22,Saturday,2682,5.12,62.9,Medium
image,Comedy,creator,1,244,3,14004,0.0,1701,4.55,2,Friday,2135,3.72,46.3,Medium
carousel,Photography,creator,1,97,7,2747,9.6,475,1.93,23,Monday,594,3.24,19.4,Low
reel,Travel,brand,0,112,8,257,12.1,40,5.09,9,Tuesday,689,5.18,39.5,Medium
image,Lifestyle,creator,1,68,5,699,20.3,179,3.43,20,Thursday,850,4.84,40.2,Medium
reel,Comedy,creator,0,154,5,5047,22.1,819,0.1,22,Wednesday,5138,3.15,53.5,Medium
image,Fashion,creator,1,77,7,8168,17.1,1986,7.52,10,Wednesday,2972,5.97,70.4,High
carousel,Fashion,brand,0,118,6,5196,6.0,334,2.25,22,Wednesday,1491,2.32,28.4,Low
image,Photography,brand,0,60,10,10228,19.2,1446,4.54,22,Sunday,2206,4.57,54.8,Medium
carousel,Technology,creator,1,60,7,2923,0.0,476,0.1,21,Tuesday,1957,3.84,45.8,Medium
image,Travel,brand,1,181,8,712,11.9,144,5.74,18,Sunday,797,8.38,54.0,Medium
reel,Fashion,brand,0,10,4,95872,3.5,12586,3.24,12,Tuesday,29655,2.87,64.0,Medium
image,Technology,creator,1,134,6,1118,0.1,350,3.02,3,Wednesday,505,4.67,31.2,Low
carousel,Fitness,brand,1,196,2,1072,16.0,113,5.82,6,Tuesday,667,3.59,24.3,Low
reel,Lifestyle,brand,0,40,7,170391,5.6,8628,3.31,1,Monday,18072,3.44,66.8,Medium
image,Comedy,creator,0,74,3,9837,17.8,2558,5.68,21,Saturday,3539,6.11,73.8,High
reel,Technology,brand,0,197,9,334,12.5,96,2.62,8,Wednesday,629,3.86,26.0,Low
carousel,Comedy,brand,1,123,6,51588,26.1,6243,3.39,12,Tuesday,10191,3.12,60.2,Medium
image,Food,creator,1,139,6,44578,17.4,983,3.32,3,Friday,1848,3.08,37.9,Low
image,Technology,creator,0,131,6,24443,7.2,6118,8.05,5,Tuesday,3583,4.59,62.4,Medium
image,Food,creator,1,200,10,691,31.6,210,2.24,9,Sunday,775,3.89,29.8,Low
image,Travel,creator,1,43,5,4766,10.9,2829,4.49,0,Saturday,3720,6.97,77.8,High
reel,Food,creator,1,150,6,1236,16.4,276,6.14,22,Thursday,1628,5.47,57.2,Medium
carousel,Comedy,brand,1,73,5,24767,14.2,6336,4.49,0,Friday,12478,6.16,87.2,High
image,Music,creator,1,37,7,13382,19.2,1874,2.85,2,Monday,2898,2.52,40.9,Medium
reel,Lifestyle,brand,0,84,9,21232,9.7,3877,6.39,18,Monday,9057,8.33,90.0,High
image,Food,brand,0,67,3,200,17.1,30,2.45,5,Wednesday,240,2.52,9.3,Low
carousel,Photography,creator,1,128,5,1705,11.9,237,3.8,2,Friday,1227,2.7,27.7,Low
reel,Lifestyle,creator,0,119,6,30143,0.5,4206,6.43,3,Monday,10832,5.42,81.4,High
reel,Photography,creator,1,143,5,9670,15.0,1288,5.09,20,Sunday,2510,6.09,68.5,Medium
reel,Music,creator,1,149,5,2375,29.5,150,0.1,6,Tuesday,767,0.47,9.4,Low
reel,Lifestyle,brand,0,195,7,1699,17.3,143,5.4,19,Tuesday,691,6.46,47.4,Medium
carousel,Beauty,brand,0,136,7,1049,34.7,219,3.02,5,Sunday,775,2.91,21.0,Low
carousel,Beauty,creator,1,105,5,5339,0.0,621,5.74,8,Monday,1101,3.52,32.6,Low
carousel,Comedy,brand,1,136,8,7685,7.4,1565,1.97,23,Sunday,2845,1.65,35.5,Low
reel,Lifestyle,brand,0,28,9,2797,20.3,1069,7.19,7,Wednesday,1341,4.36,44.1,Medium
carousel,Technology,creator,1,185,5,1469,6.6,275,4.01,8,Sunday,1403,4.49,46.2,Medium
carousel,Beauty,creator,0,87,3,44282,19.8,14768,3.12,8,Sunday,19151,3.56,68.3,Medium
reel,Beauty,creator,1,129,7,22292,15.2,995,1.44,6,Friday,3087,2.16,39.4,Medium
image,Technology,creator,0,69,6,491,19.9,99,1.66,3,Sunday,357,3.58,18.7,Low
reel,Beauty,creator,0,79,5,34894,5.1,6795,3.33,20,Wednesday,17766,3.29,65.4,Medium
carousel,Fashion,brand,1,117,5,1495,16.1,108,0.1,20,Sunday,697,1.04,8.8,Low
reel,Travel,creator,0,67,7,24413,1.5,13157,4.95,17,Sunday,33915,5.73,89.4,High
carousel,Photography,brand,0,106,5,10556,15.5,662,3.0,3,Thursday,921,1.87,16.9,Low
carousel,Beauty,brand,0,85,5,25178,19.4,433,3.8,23,Wednesday,2673,2.86,42.2,Medium
reel,Comedy,creator,0,72,3,11084,11.1,429,4.46,23,Sunday,1689,4.84,52.7,Medium
carousel,Food,brand,1,43,7,12870,5.1,3946,3.09,6,Monday,4897,3.21,53.4,Medium
image,Fitness,creator,1,68,1,2873,2.1,282,1.01,7,Friday,1043,0.1,14.3,Low
carousel,Photography,brand,1,145,3,45044,21.7,8596,2.88,18,Friday,13033,5.51,83.4,High
carousel,Travel,brand,0,197,4,167634,11.5,25126,1.82,22,Wednesday,28813,1.12,54.2,Medium
image,Lifestyle,brand,1,125,5,370,10.7,72,3.44,7,Sunday,455,4.56,29.3,Low
reel,Photography,creator,0,82,4,46670,18.0,5048,3.82,20,Friday,9265,4.77,74.8,High
reel,Fashion,creator,1,143,4,1628,17.6,790,8.13,11,Wednesday,3765,7.23,78.6,High
carousel,Travel,brand,0,194,5,1176,11.9,139,6.25,5,Friday,950,6.2,52.0,Medium
reel,Music,brand,1,108,6,17759,21.5,4663,2.08,14,Saturday,10344,2.87,58.3,Medium
reel,Beauty,creator,0,67,5,105335,6.8,3309,5.28,3,Tuesday,12294,3.22,62.4,Medium
carousel,Travel,creator,0,107,9,1497,14.7,417,4.43,18,Sunday,1466,6.06,59.3,Medium
reel,Fashion,creator,0,114,4,2537,12.9,276,0.1,1,Wednesday,1148,0.1,16.1,Low
reel,Technology,creator,1,169,10,256355,25.7,34993,4.1,7,Thursday,141483,4.55,81.8,High
carousel,Lifestyle,creator,0,178,5,254,18.3,39,5.23,11,Sunday,424,3.04,14.7,Low
carousel,Travel,brand,0,103,5,20157,19.6,3119,8.56,6,Wednesday,6536,6.75,84.0,High
image,Lifestyle,brand,0,135,4,16149,,1964,4.8,15,Friday,3510,2.34,42.5,Medium
image,Food,brand,1,148,7,1948,17.9,200,4.95,6,Monday,855,6.03,49.1,Medium
carousel,Music,creator,0,118,4,10633,18.8,1941,4.91,4,Thursday,2983,2.41,40.6,Medium
image,Beauty,brand,1,125,4,16218,15.3,1347,2.48,14,Tuesday,1527,4.07,43.7,Medium
carousel,Music,creator,0,150,6,11579,5.0,1995,3.85,6,Sunday,3142,3.03,46.0,Medium
reel,Fitness,brand,1,192,6,1870,9.4,454,5.61,1,Tuesday,779,4.28,33.5,Low
carousel,Fitness,creator,1,176,7,19708,21.1,1121,4.56,5,Monday,1905,2.1,31.3,Low
reel,Travel,brand,0,27,5,49318,4.4,6969,0.85,11,Wednesday,6713,1.18,44.8,Medium
image,Fitness,brand,1,159,5,441,19.5,31,3.8,12,Saturday,675,4.4,32.0,Low
reel,Food,creator,0,138,6,667,12.3,165,4.44,2,Saturday,709,2.26,14.5,Low
reel,Comedy,creator,0,239,7,1016,20.4,200,2.29,16,Sunday,1089,4.68,43.4,Medium
reel,Technology,brand,0,34,8,19025,17.3,4460,6.32,8,Saturday,6898,4.53,69.7,High
carousel,Fashion,creator,0,103,7,45152,18.7,4272,2.23,0,Wednesday,10456,1.39,49.6,Medium
carousel,Travel,brand,1,81,7,2914,16.4,518,2.3,12,Thursday,736,2.15,14.5,Low
carousel,Music,brand,0,200,2,1546,12.5,401,5.66,6,Thursday,663,4.66,34.2,Low
carousel,Comedy,brand,0,174,4,2006,31.6,640,5.8,3,Monday,1134,3.68,34.7,Low
image,Photography,brand,0,123,7,8366,0.0,985,3.97,0,Saturday,1320,3.19,32.9,Low
image,Travel,creator,0,145,8,14587,25.1,536,4.71,8,Tuesday,959,3.54,30.2,Low
carousel,Fitness,creator,0,92,10,1226,27.6,209,2.56,21,Wednesday,1114,2.84,27.0,Low
image,Comedy,creator,1,114,7,40048,20.6,5317,3.81,5,Wednesday,15947,2.9,61.5,Medium
carousel,Photography,brand,0,71,5,1805,28.6,595,5.68,6,Sunday,1455,4.96,51.3,Medium
reel,Lifestyle,creator,0,111,7,752,0.0,152,6.7,18,Wednesday,524,5.69,39.8,Medium
reel,Photography,creator,0,47,5,8867,29.2,1502,1.9,16,Sunday,2890,4.74,60.7,Medium
carousel,Lifestyle,creator,1,114,5,5881,16.0,254,4.36,13,Tuesday,1101,4.29,39.8,Medium
reel,Lifestyle,creator,0,57,4,813,37.7,351,3.6,1,Friday,625,5.36,39.4,Medium
image,Lifestyle,brand,0,210,9,15670,22.9,1544,3.89,5,Monday,1680,2.03,28.7,Low
reel,Beauty,brand,0,168,5,675,0.0,75,1.55,8,Tuesday,704,1.48,10.3,Low
carousel,Lifestyle,creator,1,143,8,2550,5.3,442,5.35,18,Saturday,2579,6.02,68.5,Medium
reel,Beauty,creator,0,68,9,183557,21.5,82885,4.22,22,Tuesday,157153,6.22,94.3,High
image,Fashion,brand,1,83,1,5487,15.5,1252,4.86,11,Sunday,2437,7.15,72.1,High
reel,Technology,brand,0,76,4,59148,15.9,16734,1.32,18,Tuesday,21273,3.5,68.1,Medium
reel,Food,creator,1,110,5,68241,6.6,9416,2.62,7,Friday,18795,3.41,66.7,Medium
carousel,Comedy,brand,0,107,12,4795,2.3,1121,4.32,9,Sunday,2273,3.05,41.2,Medium
carousel,Comedy,creator,1,117,5,16392,6.3,1235,4.79,12,Friday,3708,4.59,62.8,Medium
image,Food,brand,1,150,6,31316,11.6,7341,1.97,22,Thursday,11886,5.19,80.4,High
carousel,Photography,creator,0,135,7,3224,13.1,354,4.05,6,Wednesday,995,3.67,32.1,Low
image,Comedy,brand,1,192,2,26611,5.4,3710,5.77,21,Tuesday,9406,5.01,77.1,High
carousel,Fitness,creator,1,27,5,969,20.9,241,3.19,14,Wednesday,432,3.97,23.4,Low
reel,Technology,creator,1,73,8,1387,25.1,295,1.76,21,Wednesday,847,4.28,34.9,Low
reel,Photography,creator,1,148,10,98094,9.2,13559,2.48,23,Sunday,35164,3.2,67.2,Medium
image,Food,creator,1,168,4,11798,0.1,1227,0.1,6,Monday,2154,2.07,33.2,Low
reel,Beauty,brand,1,107,4,12285,19.0,2963,5.98,17,Thursday,10968,5.16,79.6,High
carousel,Food,brand,1,95,8,11796,3.7,303,5.47,17,Sunday,2931,3.76,51.7,Medium
reel,Music,creator,0,91,5,1447,0.3,352,4.9,0,Monday,1035,5.94,52.1,Medium
reel,Food,brand,0,82,6,21581,8.6,5027,2.75,19,Thursday,14064,4.17,72.3,High
carousel,Travel,brand,1,198,5,18099,17.4,1251,4.6,8,Sunday,6159,5.35,75.5,High
reel,Technology,brand,1,92,4,4663,24.2,99,5.69,18,Saturday,1421,4.8,49.4,Medium
carousel,Technology,creator,1,152,4,17793,21.7,4040,4.96,22,Sunday,10215,5.01,77.8,High
image,Food,brand,1,150,5,90854,20.7,10035,4.41,6,Tuesday,8833,4.59,72.7,High
reel,Fashion,creator,1,60,8,2583,10.8,1094,4.52,14,Sunday,3623,5.77,72.1,High
reel,Fashion,brand,1,80,4,13771,18.0,1796,4.7,21,Monday,6915,4.28,67.4,Medium
image,Food,creator,0,121,6,4057,17.6,327,2.55,2,Thursday,906,2.0,17.3,Low
carousel,Fitness,creator,0,135,16,5694,14.7,1251,2.97,17,Thursday,2489,3.86,50.0,Medium
reel,Travel,creator,1,187,7,5850,23.7,1650,6.98,13,Tuesday,3036,6.99,75.0,High
carousel,Lifestyle,brand,1,63,6,1552,6.3,251,0.76,17,Saturday,1278,3.49,35.0,Low
carousel,Comedy,brand,1,84,4,8100,27.4,1795,3.07,2,Monday,3509,3.63,53.0,Medium
carousel,Lifestyle,creator,0,113,7,3512,28.2,362,5.58,10,Thursday,766,5.37,42.8,Medium
image,Photography,brand,0,140,3,2733,14.0,273,4.83,9,Friday,436,3.92,22.9,Low
carousel,Travel,creator,1,70,7,11156,0.0,1758,6.72,19,Friday,5381,8.71,84.8,High
carousel,Comedy,brand,0,113,4,5865,7.1,497,2.55,16,Monday,2161,3.68,46.1,Medium
reel,Comedy,brand,0,175,10,5756,14.8,1636,3.28,14,Saturday,5903,5.32,74.9,High
carousel,Lifestyle,creator,1,55,8,17819,3.9,1208,2.47,0,Sunday,3748,2.04,41.4,Medium
reel,Technology,creator,0,136,6,13028,18.0,3141,2.25,11,Thursday,11102,2.68,57.4,Medium
carousel,Food,creator,1,135,3,10508,22.9,430,3.61,8,Monday,1286,3.51,35.3,Low
reel,Music,creator,0,173,4,200,0.8,48,2.58,10,Friday,791,3.4,25.5,Low
carousel,Photography,brand,1,193,4,23698,6.6,4283,6.28,21,Monday,6566,6.06,81.1,High
image,Food,brand,0,162,6,4953,6.1,2663,6.85,7,Saturday,5453,5.96,78.3,High
image,Lifestyle,creator,0,141,9,20928,26.7,1145,1.7,16,Saturday,2637,1.38,33.1,Low
reel,Technology,brand,1,169,4,4561,20.4,949,5.14,22,Saturday,2333,6.01,67.0,Medium
